id,title,description,image_url,modal_image_url,tag,duration,features,modal_content,highlights
city-walking-tour,Городская экскурсия 2.5 часа пешком,Пешеходная экскурсия по историческому центру Ушуайи с посещением музея и видовых площадок,https://images.unsplash.com/photo-1578662996442-48f60103fc96,https://images.unsplash.com/photo-1578662996442-48f60103fc96,Городские,2.5 часа,Пешеходные маршруты;Исторический центр;Музей;Русскоговорящий гид,"<strong>Пешеходная экскурсия по Ушуайе</strong> — знакомство с самым южным городом мира. Прогулка по историческому центру, посещение здания бывшей тюрьмы (ныне Морской музей), рассказы о становлении города от каторжной колонии до туристической столицы.","🏛️ Что включено|Пешеходная экскурсия по центру;Русскоговорящий гид;Посещение основных достопримечательностей"
city-glacier-tour,Городская экскурсия + Ледник Марсиаль,Комбинированная экскурсия: обзор города пешком + поездка к леднику Марсиаль на автомобиле,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/7b/36/16/glacier-martial.jpg,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/7b/36/16/glacier-martial.jpg,Городские,4 часа,Ледник Марсиаль;Город пешком;Автомобильная часть;Смотровые площадки,"<strong>Городская экскурсия + Ледник Марсиаль</strong> — идеальное сочетание городской культуры и природы. Начинаем с пешеходной прогулки по центру Ушуайи, затем поднимаемся к леднику Марсиаль с прекрасными видами на город и канал Бигль.","🏔️ Программа экскурсии|Пешеходная часть в центре города;Поездка к леднику Марсиаль;Смотровые площадки с панорамными видами"
viewpoint-picnic-light,Видовой пикник/фуршет Лайт,Легкий пикник на природе с видами на канал Бигль и горы (алкогольные напитки оплачиваются дополнительно),https://images.unsplash.com/photo-1506905925346-21bda4d32df4,https://images.unsplash.com/photo-1506905925346-21bda4d32df4,Гастрономия,2-3 часа,Панорамные виды;Легкий перекус;Фотосессии;Канал Бигль,"<strong>Видовой пикник Лайт</strong> — романтический отдых на природе с захватывающими видами. Организуем пикник в живописном месте с видом на канал Бигль, горные вершины и город Ушуайя.","🍽️ Что входит в пикник|Легкие закуски и снеки;Горячие и холодные напитки (безалкогольные);Красивая сервировка на природе;Панорамные виды"
viewpoint-picnic-premium,Видовой пикник/фуршет Премиум,Премиум пикник с изысканными блюдами патагонской кухни и винным сопровождением,https://images.unsplash.com/photo-1555939594-58d7cb561ad1,https://images.unsplash.com/photo-1555939594-58d7cb561ad1,Гастрономия,3-4 часа,Премиум меню;Винное сопровождение;Патагонская кухня;Эксклюзивные локации,"<strong>Видовой пикник Премиум</strong> — роскошный гастрономический опыт на природе. Изысканное меню из продуктов Патагонии, профессиональная подача, винные пары от сомелье.","🍷 Премиум программа|Изысканные блюда патагонской кухни;Профессиональная подача и сервировка;Винное сопровождение от сомелье;Эксклюзивные локации с лучшими видами"
viewpoint-spa,Видовые СПА,СПА-процедуры на природе с панорамными видами на канал Бигль,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b,СПА,3 часа,Панорамные виды;Природные СПА;Релаксация;Горячие источники,"<strong>Видовые СПА</strong> — уникальный wellness опыт на краю света. СПА-процедуры на открытом воздухе с захватывающими видами на канал Бигль и заснеженные пики Анд.","🧘 СПА программа|Массаж на открытом воздухе с видами на канал Бигль;Горячие ванны с эфирными маслами;Медитативные практики на природе;Травяные чаи и релакс"
national-park,Национальный парк Огненная Земля,Экскурсии в единственный морской национальный парк Аргентины с различными программами и опцией поезда конца света,https://patagoniaplus.com/wp-content/uploads/2023/06/617.jpg,https://patagoniaplus.com/wp-content/uploads/2023/06/617.jpg,Национальные парки,4-6 часов,Морской парк;Треккинг тропы;Дикая природа;Поезд конца света,"<strong>Национальный парк Огненная Земля</strong> — 63 000 гектаров нетронутой субантарктической природы. Единственный морской национальный парк Аргентины где встречаются океан горы и девственные леса. Множество вариантов посещения под любые предпочтения и бюджет.","🌲 Варианты экскурсий|<strong>Индивидуально с русским гидом 4 часа</strong> — полное сопровождение и персонализированная программа;<strong>Индивидуально с русским гидом 6 часов</strong> — расширенная программа с дополнительными тропами;<strong>Групповая экскурсия</strong> — экономичный вариант с англо/испанским гидом##🚂 Поезд конца света|<strong>Обычные вагоны</strong> — путешествие по исторической железной дороге заключенных с панорамными окнами;<strong>Премиум вагоны</strong> — повышенный комфорт приветственный коктейль персональное обслуживание;<strong>Детские билеты</strong> — специальные тарифы для маленьких путешественников##🎫 Важная информация|Входные билеты в парк оплачиваются отдельно;Поезд можно совместить с любой экскурсией в парк;Все программы включают основные достопримечательности парка"
penguin-excursions,Экскурсии к пингвинам,Морские экскурсии к колониям пингвинов Магелланов с различными вариантами программ и дополнительными активностями,https://images.unsplash.com/photo-1551986782-d0169b3f8fa7,https://images.unsplash.com/photo-1551986782-d0169b3f8fa7,Морские,Полный день,Пингвины Магелланы;Остров Мартильо;Канал Бигль;Рыбацкая деревня,"<strong>Пингвины Магеллановы</strong> — встреча с символами Патагонии в их естественной среде обитания. Морские прогулки к острову Мартильо для знакомства с удивительными птицами которые выбрали край света своим домом.","🐧 Варианты экскурсий|<strong>С высадкой на остров (групповая)</strong> — уникальная возможность прогуляться среди пингвинов с гидом-биологом;<strong>Без высадки (групповая)</strong> — наблюдение за колонией с борта катамарана более экономичный вариант;<strong>Только морская прогулка</strong> — базовый вариант морской прогулки к пингвинам без дополнительных услуг##🎣 Комбинированные программы|<strong>Пингвины + рыбацкая деревня (с высадкой)</strong> — полная программа с русскоговорящим гидом и знакомством с местной культурой;<strong>Пингвины + рыбацкая деревня (без высадки)</strong> — экономная версия с погружением в рыбацкий быт;<strong>+ Рыбалка на краба</strong> — сезонная опция (ноябрь-март) с дегустацией королевского краба;<strong>+ Ранчо Харбертон</strong> — историческое ранчо и музей морских млекопитающих"
beagle-channel-sea-lions,Морская прогулка к морским львам + маяк,Морская экскурсия по каналу Бигль к острову морских львов и знаменитому маяку Эклайрёрс,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/2f/37/2f/faro-les-eclereurs.jpg,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/2f/37/2f/faro-les-eclereurs.jpg,Морские,3 часа,Канал Бигль;Морские львы;Маяк;Остров Лобос,"<strong>Канал Бигль</strong> — легендарный пролив названный в честь корабля Дарвина. Морская прогулка к острову морских львов и знаменитому маяку Эклайрёрс — обязательное путешествие в Ушуайе.","🦭 Морская программа|Прогулка по каналу Бигль;Остров Лобос с колонией морских львов;Маяк Эклайрёрс — символ конца света;Остров птиц — бакланы и альбатросы"
shipwreck-ranch-day,Затонувший корабль + старинное ранчо день,Дневная экскурсия к кораблекрушению Дессмочадо и историческому ранчо без ночевки,https://images.unsplash.com/photo-1544551763-46a013bb70d5,https://images.unsplash.com/photo-1544551763-46a013bb70d5,Исторические,Весь день,Затонувший корабль;Историческое ранчо;Русскоговорящий гид;Обед включен,"<strong>Кораблекрушение Дессмочадо</strong> — трагическая история испанского судна 1985 года на берегу Атлантики. Сочетание истории катастрофы и быта патагонских ранчо.","⚓ Морская трагедия и история|Поездка к месту кораблекрушения Дессмочадо;История трагедии испанского судна 1985 года;Посещение аутентичного патагонского ранчо;Обед на ранчо и знакомство с бытом"
shipwreck-ranch-overnight,Затонувший корабль + ранчо с ночевкой,Двухдневная программа с ночевкой на историческом ранчо,https://images.unsplash.com/photo-1544551763-46a013bb70d5,https://images.unsplash.com/photo-1544551763-46a013bb70d5,С размещением,1.5 дня,Ночевка на ранчо;Затонувший корабль;Аутентичный быт;Русскоговорящий гид,"<strong>Жизнь на ранчо</strong> — полное погружение в быт патагонских фермеров с ночевкой в аутентичных условиях и знакомством с трагической историей кораблекрушения.","🏠 Жизнь на ранчо|День 1: Поездка к кораблекрушению заселение на ранчо;Ночевка в аутентичных условиях ранчо;День 2: Знакомство с хозяйством участие в работах;Питание на ранчо общение с хозяевами"
